LA,LD,LT,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
3,0,0,12,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,1,0,0
10,0,3,51,1,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,9,0,0
10,0,7,42,0,1,1,0,3,3,7,1,1,3,3,0,0,0,2,0,0,0,0,3,0,1,0,0,0,35,9,0,1
6,0,4,28,0,0,0,0,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,9,0,1
0,0,11,254,3,2,1,1,2,7,11,0,1,1,7,1,1,0,1,0,0,2,0,1,2,1,0,0,0,21,2,2,0
0,0,2,34,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
0,0,7,200,1,1,1,0,1,10,7,0,2,0,10,0,0,0,0,0,0,2,1,2,0,0,0,0,0,8,1,0,0
0,0,24,231,5,1,1,0,3,13,24,3,6,1,13,0,0,0,1,1,0,3,4,6,2,2,0,0,0,24,9,2,0
0,0,22,208,5,2,2,0,3,11,22,3,6,1,11,0,0,0,1,1,0,1,3,6,0,2,0,0,0,22,9,0,0
5,0,152,38,11,4,0,4,35,32,157,4,22,2,32,4,2,1,4,6,0,49,7,40,11,4,0,0,0,53,1,12,0
0,0,9,74,2,3,3,0,4,6,9,0,3,0,6,0,0,1,2,0,0,0,1,3,0,1,0,0,0,15,2,0,0
0,0,4,154,2,1,0,1,1,2,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
0,0,8,203,0,1,1,0,2,3,8,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2,0,0
0,0,4,143,1,2,1,1,1,1,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
0,0,9,187,2,0,0,0,2,2,9,0,0,1,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,13,1,0,0
0,0,4,198,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0
0,0,3,213,3,1,0,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
0,0,18,55,6,4,2,2,3,11,18,0,3,0,11,1,1,0,1,1,0,1,1,5,0,1,0,0,0,24,2,1,0
0,0,5,95,3,1,0,1,1,3,5,1,2,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,0
