LA,LD,LT,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
33,0,30,59,1,0,0,0,6,2,30,1,0,2,2,0,0,0,1,0,1,0,0,13,0,1,0,0,0,26,0,0,1
4,0,3,94,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
9,0,4,34,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
9,0,4,40,1,0,0,0,1,0,4,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
0,0,3,109,0,0,0,0,2,1,3,1,0,2,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,25,1,0,1
3,0,0,100,3,1,1,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
8,0,7,47,5,1,0,1,2,0,7,1,1,5,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,10,4,0,0
0,0,3,94,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
0,0,30,59,1,0,0,0,6,2,30,1,0,2,2,0,0,0,1,0,1,0,0,13,0,1,0,0,0,26,0,0,1
0,0,7,47,5,1,0,1,2,0,7,1,1,5,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,10,4,0,0
0,0,4,34,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
0,0,4,40,1,0,0,0,1,0,4,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
0,0,3,109,0,0,0,0,2,1,3,1,0,2,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,25,1,0,1
0,0,3,100,3,1,1,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
0,0,3,101,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
0,0,7,54,5,1,0,1,2,0,7,1,1,5,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,10,4,0,0
4,0,3,116,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0
6,2,2,37,1,0,0,0,1,0,6,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,1,0,0
4,0,3,111,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
4,0,3,106,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
6,2,2,45,1,0,0,0,1,0,6,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,1,0,0
0,0,3,131,0,0,0,0,2,1,3,1,0,2,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,25,1,0,1
0,0,30,66,1,0,0,0,6,2,30,1,0,2,2,0,0,0,1,0,1,0,0,13,0,1,0,0,0,26,0,0,1
0,0,3,122,3,1,1,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
3,0,16,660,1,5,2,3,4,10,19,0,1,0,10,3,2,0,0,0,0,1,8,2,1,1,0,0,0,20,2,0,0
0,0,5,176,2,0,0,0,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,1
18,0,17,796,2,0,0,0,6,3,17,0,1,1,3,0,0,0,0,0,2,0,3,4,0,2,0,0,0,18,1,0,0
0,0,6,609,1,1,1,0,3,0,6,2,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,8,2,0,0
0,0,10,281,1,1,0,1,2,5,10,0,0,0,5,1,2,0,1,0,0,0,1,1,0,1,0,0,0,28,1,0,1
0,0,11,649,0,2,2,0,5,4,11,0,0,3,4,0,0,0,2,0,0,0,1,0,0,1,0,0,0,15,1,0,0
18,0,11,589,1,3,1,2,4,2,11,0,0,1,2,2,1,0,0,0,0,0,2,1,0,2,0,0,0,18,2,0,0
13,0,11,831,0,1,1,0,5,0,11,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,10,0,0
0,0,3,758,1,2,1,1,1,1,3,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0
2,0,6,462,1,0,0,0,3,2,8,1,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,41,1,0,1
2,0,38,395,3,3,0,3,15,10,40,6,1,2,10,3,10,0,5,0,1,0,3,1,0,4,0,0,0,50,1,0,1
0,0,20,679,2,2,1,1,5,6,20,1,1,0,6,1,1,0,3,0,0,0,0,1,0,1,0,0,0,17,2,0,0
1,1,2,844,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
0,0,15,336,2,1,0,1,5,4,15,1,3,1,4,1,1,1,3,0,1,0,2,4,0,3,0,0,0,40,1,0,1
0,0,10,739,0,1,1,0,2,1,10,0,1,0,1,0,0,0,0,0,0,0,2,4,1,1,0,0,0,9,2,0,0
2,0,40,188,2,3,0,3,13,8,42,0,1,2,8,3,3,0,6,0,1,0,4,15,0,2,0,0,0,62,1,0,1
5,2,13,700,2,3,0,3,5,12,16,0,0,2,12,3,2,0,0,0,0,0,2,1,0,2,0,0,0,25,2,0,0
0,0,24,358,3,2,1,1,7,10,24,2,5,2,10,1,9,0,4,0,1,0,6,10,2,2,0,0,0,50,2,0,1
8,0,7,125,2,5,4,1,1,3,7,0,1,0,3,1,1,0,0,0,0,3,0,4,0,0,0,0,0,16,2,0,0
0,0,3,789,1,1,0,1,1,1,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
5,2,8,718,1,1,1,0,7,7,11,0,0,2,7,0,0,0,1,0,4,0,2,2,0,2,0,0,0,18,2,0,0
0,0,5,733,1,3,2,1,1,4,5,0,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,11,2,0,0
0,1,5,93,0,0,0,0,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,1
12,0,10,818,0,1,1,0,3,0,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,10,0,0
0,0,8,507,0,1,1,0,2,1,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,1
3,1,11,102,2,1,0,1,3,2,13,1,1,0,2,1,2,0,2,0,0,4,3,7,0,2,0,0,0,37,1,0,1
0,0,5,779,1,1,0,1,2,1,5,0,0,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0
0,0,12,636,1,7,6,1,3,4,12,0,1,0,4,1,1,0,0,0,0,0,1,1,0,2,0,0,0,28,2,0,1
0,0,15,528,1,2,1,1,4,4,15,0,0,1,4,1,1,0,0,0,0,0,1,0,2,2,0,0,0,18,2,0,1
0,0,3,785,1,1,0,1,1,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
0,0,2,793,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1,0,6,163,3,1,0,1,1,5,7,1,0,0,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,40,1,0,1
0,0,4,518,1,3,3,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,1
0,0,11,619,2,2,0,2,3,8,11,1,1,1,8,2,3,0,1,0,0,0,2,1,0,1,0,0,0,19,1,0,0
0,0,7,479,2,5,4,1,2,4,7,0,0,1,4,1,2,0,0,0,0,0,2,0,0,1,0,0,0,16,2,0,1
0,0,13,762,2,3,1,2,7,7,13,0,1,1,7,2,3,0,2,0,0,0,2,1,0,2,0,0,0,24,1,0,0
2,0,41,545,2,12,2,10,15,17,43,1,1,2,17,10,8,1,8,0,0,0,4,2,0,4,0,0,0,39,1,0,0
0,0,11,313,2,1,0,1,5,6,11,0,1,6,6,1,2,0,3,0,1,0,2,1,0,2,0,0,0,24,1,0,1
1,0,5,300,2,1,0,1,1,4,6,0,0,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0
13,0,3,134,1,1,1,0,5,4,16,0,4,0,4,0,0,1,0,0,1,2,4,6,0,2,0,0,0,15,2,0,0
0,0,4,753,1,2,1,1,1,3,4,1,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
0,0,3,749,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
4,3,9,491,1,6,6,0,5,4,10,0,2,1,4,0,0,0,5,0,0,0,2,3,0,2,0,0,0,30,2,0,1
4,0,0,26,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0
0,0,15,535,1,2,1,1,4,4,15,0,0,1,4,1,1,0,0,0,0,0,1,0,2,2,0,0,0,18,2,0,1
19,3,5,727,2,0,0,0,7,9,12,0,1,2,9,0,0,0,1,0,4,0,2,3,0,2,0,0,0,20,2,0,0
0,0,10,501,1,7,7,0,5,4,10,0,2,1,4,0,0,0,5,0,0,0,2,3,0,2,0,0,0,30,2,0,1
0,0,7,173,3,1,0,1,1,5,7,1,0,0,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,40,1,0,1
4,4,13,107,5,1,0,1,3,2,13,1,1,0,2,1,2,0,2,0,0,2,3,7,0,2,0,0,0,39,1,0,1
0,2,10,472,1,0,0,0,3,2,8,1,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,41,1,0,1
19,3,0,707,2,3,0,3,5,12,16,0,0,2,12,3,2,0,0,0,0,0,2,1,0,2,0,0,0,25,2,0,0
0,0,3,822,1,1,0,1,1,1,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
0,0,5,766,1,3,2,1,1,4,5,0,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,11,2,0,0
9,4,7,642,1,8,7,1,3,4,12,0,1,0,4,1,1,0,0,0,0,0,1,1,0,2,0,0,0,28,2,0,1
0,0,5,186,2,0,0,0,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,1
0,0,10,851,0,0,0,0,3,0,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,10,0,0
0,0,5,812,1,1,0,1,2,1,5,0,0,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0
3,0,8,288,2,1,0,1,3,7,11,0,0,0,7,1,2,0,1,0,1,0,1,1,0,1,0,0,0,37,1,0,1
0,0,11,323,2,1,0,1,5,6,11,0,1,6,6,1,2,0,3,0,1,0,2,1,0,2,0,0,0,24,1,0,1
0,0,2,826,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,0,6,614,1,1,1,0,3,0,6,2,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,8,2,0,0
0,0,3,782,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
0,0,13,795,2,3,1,2,7,7,13,0,1,1,7,2,3,0,2,0,0,0,2,1,0,2,0,0,0,24,1,0,0
19,3,0,745,2,4,1,3,5,13,16,0,0,2,13,3,2,0,0,0,0,0,2,1,0,2,0,0,0,21,2,0,0
0,0,3,818,1,1,0,1,1,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
5,0,5,130,3,5,4,1,2,5,10,0,1,0,5,1,1,0,0,0,1,4,0,5,0,1,0,0,0,23,2,0,0
0,2,43,552,2,11,2,9,15,16,41,1,1,2,16,9,8,1,8,0,0,0,4,2,0,4,0,0,0,37,1,0,0
0,0,4,786,1,2,1,1,1,3,4,1,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
0,0,11,624,2,2,0,2,3,8,11,1,1,1,8,2,3,0,1,0,0,0,2,1,0,1,0,0,0,19,1,0,0
