LA,LD,LT,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
0,0,11,137,2,0,0,0,2,8,11,0,2,1,8,0,0,0,1,0,0,0,0,3,0,1,0,0,0,27,1,0,0
0,0,7,156,1,0,0,0,2,7,7,0,0,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,1,0,0
0,0,2,165,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
0,0,3,72,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0
0,0,11,98,5,0,0,0,2,11,11,1,1,3,11,0,0,0,1,0,4,0,0,2,0,1,0,0,0,14,1,0,0
0,0,10,120,3,1,0,1,2,2,10,0,0,4,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,14,1,0,0
0,0,3,51,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
0,0,3,55,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
0,0,36,187,8,2,0,2,7,14,36,1,1,1,14,2,1,0,0,0,1,0,2,3,0,2,0,0,0,24,1,0,0
0,0,7,246,0,0,0,0,2,4,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0
0,0,12,173,2,0,0,0,2,5,12,1,0,1,5,0,0,0,0,0,4,0,0,0,0,1,0,0,0,10,1,0,0
0,0,9,235,1,0,0,0,3,3,9,2,0,2,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,7,1,0,0
0,0,7,224,2,3,3,0,1,4,7,1,2,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8,4,0,0
0,0,3,63,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
0,0,3,59,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
4,1,41,256,5,2,0,2,10,23,44,0,3,0,23,2,1,2,2,0,2,7,3,6,1,4,0,0,0,43,0,0,0
0,0,18,67,1,2,1,1,4,4,18,0,2,0,4,0,0,1,1,0,0,0,2,3,0,3,1,0,0,9,1,0,0
0,0,59,87,6,0,0,0,1,9,59,0,0,1,9,0,0,0,0,0,0,0,2,2,0,0,3,0,0,63,4,0,0
0,0,3,47,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
3,2,4,145,3,1,0,1,1,4,5,0,2,1,4,1,1,0,0,0,0,1,0,2,1,0,0,0,0,9,1,0,0
0,0,4,66,3,1,0,1,1,3,4,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0
0,0,6,54,2,1,0,1,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,41,0,0
3,2,4,126,3,1,0,1,1,4,5,0,2,1,4,1,1,0,0,0,0,1,0,2,1,0,0,0,0,9,1,0,0
4,3,13,98,4,0,0,0,3,9,14,1,4,2,9,0,0,1,0,0,0,2,1,4,2,2,0,0,0,14,1,0,0
3,2,9,133,3,0,0,0,2,7,10,1,3,0,7,0,0,1,0,0,0,3,0,3,1,1,0,0,0,10,1,0,0
5,0,0,161,1,6,6,0,1,2,5,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,1,0,0
0,0,10,85,3,0,0,0,2,5,10,1,4,1,5,0,0,1,0,0,0,5,0,4,2,1,0,0,0,17,1,0,0
11,6,1,28,1,0,0,0,1,1,6,0,0,1,1,0,0,0,0,0,0,33,0,0,3,0,0,0,0,26,1,0,0
1,1,4,71,3,1,0,1,1,3,4,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0
0,0,2,49,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
3,2,5,76,2,0,0,0,1,4,6,1,2,0,4,0,0,0,0,0,0,3,1,2,1,0,0,0,0,15,1,0,0
6,3,5,114,5,0,0,0,2,7,8,2,3,2,7,0,0,0,1,0,0,2,1,3,1,1,0,0,0,17,1,0,0
0,0,3,23,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
4,3,5,152,3,1,0,1,1,4,6,0,2,1,4,1,1,0,0,0,0,3,0,2,2,0,0,0,0,12,1,0,0
0,0,4,61,3,1,0,1,1,3,4,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0
14,0,0,51,3,0,0,0,3,4,14,1,3,3,4,0,0,1,0,0,2,3,1,4,3,2,0,0,0,35,1,0,0
0,0,3,90,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2,0,3,67,0,0,0,0,1,4,5,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,0,0
0,0,3,127,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
0,0,3,82,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
0,0,3,94,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0
