NS,ND,NF,Entropy,LA,LD,LT,Fix,NDEV,AGE,NUC,EXP,REXP,SEXP,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc,bug,commit_date
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1573,2,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,12,0,3,1.0,1,169,158.90854939211275,172,575,1,0,0,0,2,8,12,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,1,0,False,1,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,2,0,3,1.0,1,169,158.90854939211275,172,183,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1135,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,8,0,3,1.0,1,169,158.90854939211275,172,815,4,1,1,0,1,5,8,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,False,1,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,4,0,3,1.0,1,169,158.90854939211275,172,225,1,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,64,0,3,1.0,1,169,158.90854939211275,172,625,8,1,1,0,5,13,64,1,7,0,13,0,0,0,1,0,3,0,0,7,0,1,2,0,0,49,1,0,False,1,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,5,0,3,1.0,1,169,158.90854939211275,172,1495,2,2,2,0,1,4,5,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1161,1,1,0,1,1,3,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1181,1,1,0,1,1,3,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1549,2,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,5,0,3,1.0,1,169,158.90854939211275,172,1559,2,2,2,0,1,4,5,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,44,0,3,1.0,1,169,158.90854939211275,172,857,5,0,0,0,9,24,44,0,8,3,24,0,0,0,4,0,1,1,0,8,1,2,2,0,0,35,1,0,False,1,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,18,0,3,1.0,1,169,158.90854939211275,172,1383,1,2,1,1,6,6,18,2,1,0,6,1,1,0,3,0,1,0,2,1,1,2,0,0,0,10,2,0,False,1,2012-12-11 17:48:53+01:00
