NS,ND,NF,Entropy,LA,LD,LT,Fix,NDEV,AGE,NUC,EXP,REXP,SEXP,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc,bug,commit_date
1,16,38,4.294766093218071,0,0,6,0,3,19.0,19,233,195.92079102794509,229,159,1,2,2,0,1,1,6,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,9,0,False,0,2013-02-20 13:10:49+01:00
1,16,38,4.294766093218071,0,0,4,0,3,19.0,19,233,195.92079102794509,229,265,1,0,0,0,1,2,4,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,False,0,2013-02-20 13:10:49+01:00
1,16,38,4.294766093218071,0,0,7,0,3,19.0,19,233,195.92079102794509,229,359,4,0,0,0,2,3,7,0,1,2,3,0,0,0,1,0,0,0,1,2,0,1,0,0,0,18,1,0,False,0,2013-02-20 13:10:49+01:00
1,1,1,0.0,0,0,4,1,3,3.0,1,286,239.1309972393965,278,1057,2,1,0,1,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,28,1,3,3.0,1,286,239.1309972393965,278,871,2,1,0,1,5,14,28,0,6,2,14,0,0,0,2,0,1,4,4,7,0,4,0,0,0,29,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,8,1,3,3.0,1,286,239.1309972393965,278,845,5,1,0,1,1,5,8,0,2,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,719,2,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,625,2,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,583,2,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,90,1,3,3.0,1,286,239.1309972393965,278,381,11,4,2,2,17,26,90,0,7,2,26,2,2,0,8,0,3,0,3,17,0,2,4,0,0,52,2,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,1,11,68,1,3,3.0,1,286,239.1309972393965,278,1013,7,1,0,1,11,30,58,0,10,3,30,1,1,0,5,0,1,0,0,10,0,3,2,0,0,38,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1681,2,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1269,1,1,0,1,1,3,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2013-03-12 13:35:30+01:00
