,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,popt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA
Afwall,0.2503091346705334,0.7626886145404664,0.3663726571113561,0.37704213926797325,0.6981393762581235,0.6918247944983613,0.6948155185245912,0.6909442293380126,0.276883644398206,0.7101929428872812,0.4211248285322359,0.2373405488983378,0.303584672435105,0.2457256838905775,3.0
Alfresco-android-app,0.3766551975810656,0.5814814814814815,0.3346203346203346,0.45660177397936597,0.6231481481481481,0.6201012843477565,0.6216228306214837,0.6206371181425924,0.2202315708817896,0.6285125136095358,0.4851851851851851,0.35246784176150137,0.40841801896374913,0.3562559694364852,1.0
AndroidAPS,0.37383855579412306,0.693273608459392,0.3354227964692337,0.4854494568498694,0.6781725855930971,0.6772776681418143,0.6776280836976026,0.6772408320258168,0.3011352853736474,0.7059068020344708,0.5409017476868849,0.3889945078158006,0.45254039442157645,0.3128883013879709,1.0
AntennaPod,0.5503605025407947,0.673637586902893,0.308235941993514,0.607478899330637,0.6880644452106739,0.6875573658376193,0.6878108584883103,0.6875056079316485,0.3631338314001542,0.6929924150166354,0.5367234806010317,0.560100361769168,0.5478927203065134,0.3392185582518506,3.0
AnySoftKeyboard,0.7482144278192433,0.4703018108651912,0.1619534123416428,0.5769089445692352,0.6553883168237048,0.6017471261329819,0.6280261299574623,0.6076738693117102,0.3337587803501539,0.6442305031736083,0.4423340040241449,0.7504408936899073,0.5568878789043723,0.29774939172749393,2.0
Atmosphere,0.6512085497974981,0.6074849020923565,0.3273633677991137,0.6298263789696223,0.6404073301258061,0.6385932177140107,0.639767582601109,0.6387369637391435,0.28109922017088546,0.6364840745930016,0.3383761361556762,0.6483169705469846,0.4446671209266904,0.2621243221715021,1.0
ChatSecureAndroid,0.5936755395244864,0.6721333512568894,0.29241722422370897,0.631149240713551,0.689881102158481,0.689314870489901,0.6896795452562625,0.6892253759798467,0.37284420041388566,0.6885441879750014,0.3977685172738271,0.6109849266983275,0.4818433479889268,0.2536000418913965,2.0
Conversations,0.5034558881649522,0.6973275948353518,0.40842819156882076,0.5819503543135338,0.6406731136000351,0.6375492539236226,0.6387205899716447,0.6378658679716005,0.27248867775218966,0.6818209704828282,0.4152987688920028,0.5054821221904124,0.45597406522157197,0.3071296278974052,2.0
Facebook-android-sdk,0.1539961436909394,0.5422396856581533,0.25563593539703905,0.2399653529666522,0.6437509750467361,0.6278728769395658,0.6357083779492485,0.6296908845588411,0.17303125713557416,0.602388760872553,0.5049115913555993,0.157169085553697,0.2396270396270396,0.25344800867813416,5.0
K-9,0.4855005441280257,0.5800747780028042,0.31959874791183485,0.5287951192635902,0.6308496527569842,0.6259732804935703,0.6289254161854647,0.6267501287768635,0.25362872668935516,0.6380962866933315,0.3303785636391961,0.4858864500756083,0.39331948514410764,0.2327737008277156,1.0
Kiwix-android,0.2675641371140583,0.592336502448862,0.35005859495466596,0.3687371987989591,0.6224042463514603,0.6194086297804637,0.621438511584755,0.6204171871940176,0.1921142457697435,0.6263963979212905,0.33751080380293863,0.2703045685279188,0.30019218449711715,0.2201788254419833,1.0
Owncloud-android,0.5776039907274828,0.6300320627003919,0.2749768567969807,0.6023806060916492,0.6770834736537867,0.6730737325787666,0.6754761011067945,0.6728223420774342,0.3503374818125288,0.6745875081218856,0.4435933974587341,0.5765550239234449,0.5014093959731545,0.2884170227920228,2.0
PageTurner,0.19765628567514495,0.6550353356890459,0.39748763342879456,0.3015408413937502,0.6287134787116503,0.627206713208835,0.6278397733076622,0.6273237964566527,0.17395647752226884,0.6918276291101821,0.5662544169611308,0.22722438851471105,0.3243106501391348,0.3200589970501475,1.0
Reddit,0.4138031450203844,0.4605263157894737,0.17678571428571424,0.4377211285493967,0.6423872180451127,0.5887816036281597,0.6163865917585722,0.5969625708825665,0.2768523565518896,0.5844117095459727,0.42763157894736836,0.42488716956802064,0.4310172115472179,0.2289325842696629,2.0
SeriesGuide,0.35964666292765,0.5822928490351873,0.3152699157807538,0.4446563231342637,0.6335114666272167,0.6293705048195243,0.6314375911839021,0.6299497441133539,0.2329189891855385,0.6218423389497731,0.5021566401816118,0.3538067818298144,0.4151262081261143,0.3309512466253771,1.0
Wallpaper,0.15709837807536065,0.6952141057934509,0.5582661290322581,0.2559404410731845,0.5510390428211587,0.4976144596234844,0.5120823700838234,0.5073854626348318,0.07523727549808845,0.6778014128867826,0.5642317380352645,0.14932266009852216,0.2370113805047006,0.52676399026764,3.0
Median,0.3818354370480119,0.6148084125612215,0.32247728767741346,0.4828165460426631,0.6437089158273552,0.6318400211849431,0.6361761428914234,0.6322778183204885,0.27010554685419147,0.6502330241477596,0.4459684123025769,0.3905787917194761,0.4151262081261143,0.2909367396593674,2.0
