,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,popt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA
Afwall,0.5128189696843855,0.9471879286694103,0.1447078280044101,0.6653471612441545,0.9012400503324998,0.8988780741925539,0.9000582621258195,0.8910096512236756,0.63531988634947,0.9107790424847806,0.9053497942386832,0.5126614494483884,0.6546289581673962,0.24458586626139817,1.0
Alfresco-android-app,0.5846153846153846,0.4222222222222222,0.1042471042471042,0.4903225806451613,0.658987558987559,0.5739209686869344,0.6149851853555321,0.5848526651670918,0.3573126776986518,0.6340879462494954,0.4037037037037037,0.5736842105263158,0.4739130434782609,0.1814708691499522,1.0
AndroidAPS,0.3894503327581957,0.4640916434131297,0.2112489872500106,0.423507337666689,0.6264213280815595,0.5843555085711469,0.6050229365494444,0.5926770929141136,0.2383458228059574,0.6169595442044781,0.4284035834924364,0.3766787190082644,0.4008795437366865,0.2559153998678123,1.0
AntennaPod,0.6779345483049187,0.7758466023772146,0.2011258642844031,0.7235933905040787,0.7873603690464057,0.7871920003703532,0.787276180207416,0.7870488800804435,0.559742561436244,0.7950060542012736,0.6713388652164163,0.6986812930330261,0.6847372333733632,0.3392185582518506,1.0
AnySoftKeyboard,0.7455124979030364,0.7153319919517103,0.2479771148344912,0.7301104858914855,0.7336774385586095,0.7332187146105652,0.7334480407218467,0.7330463295927367,0.467597072705079,0.7665586228970669,0.4698591549295774,0.7832036490474913,0.5873534886060667,0.3022708840227088,1.0
Atmosphere,0.774402332361516,0.8101628743976087,0.238121614967996,0.7918790805831321,0.7860206297148062,0.7852791123089137,0.7856497835288547,0.7846630108737184,0.5727759042399925,0.8053821905900057,0.4127371439028853,0.7907900888265544,0.5423864683955268,0.2621243221715021,1.0
ChatSecureAndroid,0.8114156399295952,0.8675897298023928,0.1286670097786927,0.8385629831741701,0.86946136001185,0.8694573310810636,0.8694593455441231,0.8694479432195847,0.7309277771167383,0.8745401477451038,0.5425460411345611,0.8333677472640925,0.6572219508223416,0.2536000418913965,2.0
Conversations,0.6412857331049927,0.7308577719947953,0.2440620238415344,0.683148169804701,0.7433978740766303,0.7431863397614185,0.7432920993939266,0.7430916404851418,0.4762804955257402,0.7685880891790007,0.5380342308077269,0.6548699518791496,0.5907305145745761,0.3071296278974052,1.0
Facebook-android-sdk,0.3607176581680831,0.75049115913556,0.1138963660834454,0.4872448979591837,0.8182973965260574,0.8126787964320387,0.8154832575425855,0.8060579418015129,0.4632953299163619,0.8176860988346877,0.7485265225933202,0.3706225680933852,0.4957709824333116,0.1593057492639082,1.0
K-9,0.6055166735282009,0.6873967907773797,0.2331122175908656,0.643864001167372,0.7271422865932572,0.7249698033437255,0.7260552324130861,0.7242627406330328,0.4422183516913281,0.7285987297495066,0.4556161395856052,0.670072858910324,0.5424162617307764,0.2327737008277156,3.0
Kiwix-android,0.2535307517084282,0.320656871218669,0.202121754147906,0.2831700801424755,0.5592675585353815,0.4574646571640658,0.5058113699081629,0.4988212444036387,0.1085208603326536,0.5515045134070916,0.3050993949870354,0.2488251879699248,0.2741037918985375,0.2162162162162162,2.0
Owncloud-android,0.7433090024330901,0.7981237382733642,0.1652780744855088,0.7697417396781767,0.8164228318939277,0.8160126806656024,0.8162177305170272,0.815513053369136,0.6246959950913462,0.817043223457087,0.5941099631872699,0.7721870659052323,0.6715436241610738,0.2884170227920228,2.0
PageTurner,0.4972707423580786,0.8047703180212014,0.1198906534756573,0.6147098515519568,0.842439832272772,0.8407554481190443,0.841597218802336,0.837999386549984,0.5647054501379654,0.8752060450446094,0.803886925795053,0.5016538037486218,0.6177868295994569,0.2058089403222146,1.0
Reddit,0.4343434343434343,0.5657894736842105,0.2,0.4914285714285714,0.6828947368421053,0.6628131021194604,0.6727789971063072,0.6619624420545589,0.3345282945569934,0.6866144954222305,0.5131578947368421,0.4285714285714285,0.467065868263473,0.2556179775280899,2.0
SeriesGuide,0.4883912060817752,0.5396140749148695,0.1718901007869667,0.5127264883520276,0.6838619870639513,0.6534355844374466,0.6684756967846226,0.6525079808362176,0.3555515016461361,0.6687214099348076,0.5141884222474461,0.4876210979547901,0.5005524861878453,0.2458842835212535,2.0
Wallpaper,0.1852472757753562,0.5566750629722922,0.3919354838709677,0.2779874213836478,0.5823697895506622,0.5812361130004989,0.5818026751462608,0.5815801012691971,0.1153261464067722,0.6549155287929855,0.5088161209068011,0.1754995655951346,0.2609819121447028,0.400069516857838,2.0
Median,0.5190637976594942,0.7308577719947953,0.2,0.643864001167372,0.7433978740766303,0.7431863397614185,0.7432920993939266,0.7430916404851418,0.467597072705079,0.7685880891790007,0.5141884222474461,0.5212641435817401,0.5424162617307764,0.2536000418913965,1.0
