,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,popt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA
Afwall,0.4200384209708403,0.8000685871056241,0.17805953693495036,0.5503988381408049,0.8109253890257606,0.8106013518206562,0.8107633480273138,0.8102308066607494,0.48728379842395986,0.8124205937293023,0.7455418381344308,0.4201778121376111,0.5374536464771322,0.2457256838905775,1.0
Alfresco-android-app,0.45627123545145665,0.4592592592592592,0.1891891891891892,0.45840807749474655,0.6352316602316603,0.5853090381821169,0.6094278697231604,0.5938168519879792,0.2692630432655426,0.6044898931293343,0.4277777777777777,0.4476736324985352,0.4358503263296196,0.2473734479465138,1.0
AndroidAPS,0.4058548754455953,0.4726832133940373,0.2012280926186516,0.4375615541932123,0.6364856492095126,0.5940014293819343,0.6147667015277556,0.6010514990661678,0.25909050999829575,0.646518987428846,0.4447055367895433,0.39579705729586867,0.4198457648836289,0.2528089887640449,1.0
AntennaPod,0.5999819893246761,0.7532518501906257,0.27501070794835714,0.6677293225280068,0.7394775256037395,0.739223927644691,0.7393507155492351,0.7391107891530821,0.46077248307354257,0.7683940253867805,0.5926216640502355,0.6167580814564126,0.6044490192714588,0.3392185582518506,3.0
AnySoftKeyboard,0.729874620999883,0.6116297786720322,0.2294646505925623,0.6656080914827109,0.6906287253558129,0.6815536300614113,0.6862227433010236,0.6807050104985807,0.38640219107413826,0.7160738489222913,0.46945674044265595,0.782532868258653,0.5868504451934202,0.3022708840227088,3.0
Atmosphere,0.690890266213624,0.664765448667114,0.2992060561299852,0.6776337093901432,0.6820642878892689,0.6815365136971256,0.681797049338027,0.68150478246513,0.36436862371154066,0.7054832766826468,0.3640273287378759,0.697463768115942,0.4783758868090905,0.2621243221715021,1.0
ChatSecureAndroid,0.7500993904055129,0.7572926468611372,0.160919540229885,0.7534360457139874,0.7980105233320904,0.7958065978137394,0.7967844819906496,0.7937029172953518,0.5952751271142069,0.7987417176986358,0.5004704933458798,0.7687383852983688,0.6062530532486565,0.2536000418913965,2.0
Conversations,0.5773376833850411,0.6725552997697928,0.2936123808670192,0.6214756418316225,0.689318948868687,0.6890308539568069,0.6891748858849172,0.6889995073652206,0.3692168301450566,0.7149037820593813,0.48290961865679105,0.5877748675153804,0.5302068738152146,0.3071296278974052,2.0
Facebook-android-sdk,0.27691683791372157,0.5579567779960707,0.1249158815612382,0.37020277515660366,0.7161134075206181,0.6805672244448159,0.6980794784019622,0.6745580625123805,0.3191143662112511,0.6972516786609677,0.5579567779960707,0.2798838334946757,0.3725231175693527,0.1576011157601115,1.0
K-9,0.5372336509687321,0.7023679700887988,0.3151791361889161,0.6082652890366751,0.6930945076362749,0.6929967458673874,0.693045624594531,0.6929841399236267,0.36856028571356514,0.7063910655049995,0.37956067923352543,0.5582183934381157,0.45187136021365776,0.2327737008277156,1.0
Kiwix-android,0.26656577169998735,0.5396139441083261,0.31499414050453334,0.3569125811199042,0.61095416546965,0.6032629515122584,0.607083676205466,0.6049560550324949,0.17625002133763878,0.6111265555012889,0.3673292999135695,0.2941855099215505,0.3267136450992953,0.2201788254419833,2.0
Owncloud-android,0.6587416772826298,0.748248426552666,0.23200170903653064,0.7012366141243342,0.7584621636821569,0.7582995025912731,0.7583893711652933,0.7582180139391501,0.5058886099343984,0.7692928879364944,0.5251157819736373,0.6825127334465195,0.5935570469798658,0.2884170227920228,2.0
PageTurner,0.3577100007402408,0.6749116607773852,0.1787294975266857,0.4670233466345461,0.7472193614001065,0.7407260580142976,0.7439692118467416,0.7376774613903276,0.3864929101223108,0.8012572231905069,0.6704946996466431,0.3594226463792945,0.4673056697470851,0.23973224415702288,1.0
Reddit,0.5888888888888889,0.6973684210526315,0.1321428571428571,0.6385542168674698,0.7826127819548871,0.7733277290740964,0.7779564032859,0.7664966731820991,0.5328997721874558,0.8633999965901137,0.6973684210526315,0.5888888888888889,0.6385542168674698,0.2528089887640449,2.0
SeriesGuide,0.39215671514699824,0.5113507377979569,0.2409222697777164,0.44357815790497734,0.6349573418806808,0.6107947725086713,0.6226841820655877,0.6145622508518331,0.24832742292968557,0.6366104271392927,0.48161180476730986,0.3901230760526251,0.4311035109635657,0.2876766714308401,1.0
Wallpaper,0.2904238618524333,0.4559193954659949,0.1794354838709677,0.35507610306144044,0.638947600958804,0.5868775773011716,0.6126974354408471,0.5955152525644902,0.23275956122265828,0.6343584668921736,0.4559193954659949,0.29303283943399033,0.3570019723865877,0.21619742787626,1.0
Median,0.506116456504295,0.6676935277252485,0.21490286480069884,0.5860913090064371,0.6927674935194971,0.6869300650044452,0.6913761410249244,0.686456848661382,0.3714603961793863,0.7117411400693611,0.4821793416572077,0.5120406961876565,0.4739404165455837,0.2528089887640449,1.0
