,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,popt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA
Afwall,0.5049019607843137,0.8110236220472441,0.4279661016949153,0.622356495468278,0.6915287601761645,0.6708802740453044,0.6811262762052237,0.6691926122166516,0.3682207083353927,0.6419595116691634,0.2598425196850393,0.34375,0.2959641255605381,0.2644628099173554,3.0
Alfresco-android-app,0.1944444444444444,0.25,0.1043165467625899,0.21875,0.572841726618705,0.390894819466248,0.4732027718741222,0.4645646902153018,0.1303702530399394,0.5046032493255008,0.25,0.1842105263157894,0.2121212121212121,0.1241830065359477,6.0
AndroidAPS,0.3815461346633416,0.5614678899082569,0.2188879082082965,0.4543429844097995,0.6712899908499801,0.6533232491740277,0.6622456930476124,0.6534294242572516,0.2999252525475808,0.6661848322051673,0.3431192660550459,0.3045602605863192,0.3226919758412425,0.2184276058342227,12.0
AntennaPod,0.2521588946459412,0.6854460093896714,0.3023743016759777,0.3686868686868687,0.6915358538568469,0.6914822251036483,0.6915090389603623,0.6914757454243525,0.2692920325301137,0.671772155574508,0.2816901408450704,0.1652892561983471,0.2083333333333333,0.2206686930091185,1.0
AnySoftKeyboard,0.3403508771929824,0.5132275132275133,0.1529698942229455,0.4092827004219409,0.6801288095022838,0.6391717991404029,0.6593323553541076,0.6392041834934543,0.3055502426661336,0.6631678376315393,0.365079365079365,0.2899159663865546,0.3231850117096018,0.1678420310296191,6.0
Atmosphere,0.5112359550561798,0.7913043478260869,0.3,0.6211604095563139,0.7456521739130433,0.742857142857143,0.7442533462996729,0.7415876597022746,0.446350059333779,0.7535264677882947,0.3710144927536232,0.4102564102564102,0.3896499238964993,0.2567901234567901,3.0
ChatSecureAndroid,0.3073593073593073,0.71,0.3319502074688796,0.4290030211480362,0.6890248962655603,0.6883863780072867,0.6887055631379025,0.6883183192433087,0.2914828283726129,0.6295344727445231,0.24,0.1777777777777777,0.2042553191489361,0.2319587628865979,4.0
Conversations,0.4444444444444444,0.6977886977886978,0.3663570691434468,0.5430210325047801,0.6657158143226255,0.6641706056439419,0.664942761134677,0.6641807232337404,0.3032975283006542,0.5781670056078925,0.226044226044226,0.2911392405063291,0.2544951590594744,0.2296511627906976,19.0
Facebook-android-sdk,0.1832460732984293,0.4861111111111111,0.3305084745762712,0.2661596958174905,0.57780131826742,0.5632511713179873,0.5704798588059017,0.5679596998599608,0.1104714775283127,0.5408665623400899,0.2083333333333333,0.1327433628318584,0.1621621621621621,0.2077205882352941,35.0
K-9,0.1085526315789473,0.6055045871559633,0.2352430555555555,0.1841004184100418,0.6851307658002038,0.6758765786552444,0.6804879410544241,0.6752185920175686,0.1771220731666332,0.6381822626595854,0.2935779816513761,0.0675105485232067,0.1097770154373928,0.196435971819312,40.0
Kiwix-android,0.3403263403263403,0.584,0.2793682132280355,0.4300441826215022,0.6523158933859823,0.6451612903225806,0.6487287287262892,0.645667812242364,0.2562939021426894,0.6170404932844608,0.264,0.2252559726962457,0.2430939226519337,0.231987331749802,18.0
Owncloud-android,0.2998624484181568,0.6526946107784432,0.2962747380675203,0.4109330819981149,0.6782099363554615,0.6772500096360156,0.6777298030424646,0.6771999428444018,0.2750879578891679,0.6149059371162128,0.2724550898203592,0.2111368909512761,0.2379084967320261,0.2100389863547758,7.0
PageTurner,0.2911392405063291,0.6052631578947368,0.2604651162790697,0.3931623931623931,0.6723990208078334,0.6656958223354875,0.669039026585331,0.6655906316253201,0.2658199971019037,0.6339198733500953,0.2631578947368421,0.2127659574468085,0.2352941176470588,0.1857707509881423,7.0
Reddit,0.2666666666666666,0.5714285714285714,0.275,0.3636363636363636,0.6482142857142856,0.6391184573002755,0.6436503043467892,0.6399316249739815,0.2264010611198421,0.6530788801630185,0.5714285714285714,0.5,0.5333333333333333,0.1702127659574468,1.0
SeriesGuide,0.1905241935483871,0.6608391608391608,0.3700460829493087,0.2957746478873239,0.645396538944926,0.645027038093003,0.6452117620681764,0.6450604429438646,0.1900949472045457,0.5793037561722874,0.1958041958041958,0.101633393829401,0.1338112305854241,0.2243485342019543,16.0
Wallpaper,0.3950617283950617,0.8,0.4117647058823529,0.5289256198347108,0.6941176470588235,0.6779661016949153,0.6859943405700354,0.6763102001835859,0.3369835334155007,0.5032879531995635,0.075,0.0857142857142857,0.08,0.220125786163522,15.0
Median,0.30361087788873203,0.6290995989672032,0.29813736903376015,0.4101078912100279,0.6753044785816474,0.6649332139897147,0.666990893860004,0.6648856774295302,0.2721899952096408,0.6317271730473092,0.263578947368421,0.2119514241990423,0.23660130718954245,0.21927669599887234,7.0
