,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,popt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA
Afwall,0.476635514,0.779527559,0.461864407,0.591038711,0.658531296,0.637287443,0.64775892,0.638530689,0.306330155,0.603175235,0.244094488,0.319587629,0.276785714,0.269972452,1
Alfresco-android-app,0.233333333,0.25,0.082733813,0.24137931,0.583633094,0.392912173,0.478870073,0.466452962,0.162178919,0.535657856,0.25,0.189189189,0.215384615,0.120915033,1
AndroidAPS,0.43024619,0.673394495,0.214474846,0.525035765,0.729459825,0.725150717,0.72730208,0.72371155,0.394624458,0.671337927,0.306422018,0.331349206,0.318398475,0.179295624,1
AntennaPod,0.290076336,0.892018779,0.32472067,0.437788018,0.783649054,0.768662758,0.776119735,0.758025355,0.389075961,0.731923843,0.361502347,0.220630372,0.274021352,0.212158055,8
AnySoftKeyboard,0.344743276,0.746031746,0.218063466,0.471571906,0.76398414,0.763562288,0.763773185,0.763302356,0.396102367,0.716804064,0.407407407,0.277978339,0.330472103,0.195345557,28
Atmosphere,0.398425197,0.733333333,0.43908046,0.516326531,0.647126437,0.635642392,0.641358711,0.636748874,0.265637282,0.593913246,0.35942029,0.480620155,0.411276949,0.212345679,1
ChatSecureAndroid,0.397727273,0.7,0.219917012,0.507246377,0.740041494,0.737874965,0.738957435,0.736975769,0.394294287,0.661011829,0.29,0.284313725,0.287128713,0.175257732,18
Conversations,0.448795181,0.732186732,0.377708978,0.556489262,0.677238877,0.672780676,0.675006096,0.672595038,0.323760634,0.550401217,0.221130221,0.330882353,0.265095729,0.197674419,10
Facebook-android-sdk,0.188925081,0.805555556,0.527542373,0.306068602,0.639006591,0.595597716,0.61692047,0.602438937,0.190002483,0.535254471,0.208333333,0.125,0.15625,0.220588235,5
K-9,0.122291022,0.724770642,0.24609375,0.209271523,0.739338446,0.739051404,0.739194911,0.738931682,0.224523816,0.671531727,0.348623853,0.08388521,0.135231317,0.187733112,12
Kiwix-android,0.49112426,0.664,0.169792695,0.56462585,0.747103653,0.737859665,0.742467272,0.733799362,0.444789648,0.689521844,0.352,0.391111111,0.370526316,0.178147268,2
Owncloud-android,0.31409396,0.700598802,0.297438882,0.43373494,0.70157996,0.701578588,0.701579274,0.701578347,0.309489724,0.614717308,0.260479042,0.214814815,0.235453315,0.197368421,21
PageTurner,0.352112676,0.657894737,0.213953488,0.458715596,0.721970624,0.716283801,0.719121591,0.71468254,0.352997524,0.695294919,0.342105263,0.295454545,0.317073171,0.173913043,1
Reddit,0.111111111,0.142857143,0.2,0.125,0.471428571,0.242424242,0.338061702,0.377627974,0.128701,0.571550132,0.142857143,0.142857143,0.142857143,0.14893617,4
SeriesGuide,0.213483146,0.730769231,0.35483871,0.330434783,0.687965261,0.685302074,0.686632376,0.685043085,0.246285519,0.59127708,0.20979021,0.131578947,0.161725067,0.185667752,5
Wallpaper,0.45,0.675,0.277310924,0.54,0.698844538,0.698030963,0.698437632,0.697902045,0.356003211,0.546446813,0.125,0.166666667,0.142857143,0.188679245,6
Median,0.348427976,0.712684722,0.255252101,0.465143751,0.70157996,0.701578588,0.701579274,0.701578347,0.305299812,0.614717308,0.278858268,0.249304356,0.265095729,0.187733112,5
