,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,popt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA
Afwall,0.514124294,0.716535433,0.36440678,0.598684211,0.676064327,0.673641613,0.674851883,0.673545974,0.335982086,0.652596421,0.283464567,0.375,0.322869955,0.26446281,5.0
Alfresco-android-app,0.152173913,0.5,0.28057554,0.233333333,0.60971223,0.589970501,0.599760144,0.594585007,0.137970314,0.568940275,0.25,0.116666667,0.159090909,0.196078431,1.0
AndroidAPS,0.361623616,0.719266055,0.305383936,0.481276857,0.706941059,0.706726182,0.706833613,0.706682001,0.336158469,0.656812776,0.288073394,0.246855346,0.265876376,0.226254002,1.0
AntennaPod,0.263598326,0.887323944,0.368715084,0.406451613,0.75930443,0.737720207,0.748434514,0.727376902,0.35112979,0.704830286,0.305164319,0.170603675,0.218855219,0.231610942,10.0
AnySoftKeyboard,0.313769752,0.735449735,0.247355574,0.439873418,0.744047081,0.74394774,0.743997409,0.743902731,0.357936746,0.698887271,0.35978836,0.232081911,0.282157676,0.206629055,11.0
Atmosphere,0.42,0.791304348,0.433333333,0.548743719,0.678985507,0.66040555,0.66963109,0.65990321,0.323620582,0.691338174,0.295652174,0.284122563,0.289772727,0.295473251,5.0
ChatSecureAndroid,0.264204545,0.93,0.537344398,0.411504425,0.696327801,0.617912582,0.655949472,0.616829671,0.302970307,0.645040056,0.22,0.125,0.15942029,0.302405498,24.0
Conversations,0.405446293,0.658476658,0.405572755,0.501872659,0.626451952,0.624814824,0.625632852,0.625081707,0.231026008,0.568930767,0.191646192,0.214876033,0.202597403,0.26380814,9.0
Facebook-android-sdk,0.228,0.791666667,0.408898305,0.354037267,0.691384181,0.676838611,0.684072736,0.675499922,0.260273296,0.618423834,0.291666667,0.190909091,0.230769231,0.202205882,4.0
K-9,0.094282849,0.862385321,0.391927083,0.169981917,0.735229119,0.713237743,0.724149955,0.706278501,0.198424986,0.659612168,0.275229358,0.052910053,0.088757396,0.234977207,23.0
Kiwix-android,0.413306452,0.82,0.287265548,0.549597855,0.766367226,0.762613837,0.764488228,0.760290285,0.434657313,0.737852557,0.38,0.316666667,0.345454545,0.237529691,8.0
Owncloud-android,0.277595628,0.760479042,0.384749709,0.40672538,0.687864666,0.680199136,0.684021163,0.679529543,0.279041717,0.599334943,0.209580838,0.151515152,0.175879397,0.225146199,5.0
PageTurner,0.234782609,0.710526316,0.409302326,0.352941176,0.650611995,0.645094535,0.647847391,0.645512054,0.216128541,0.58127732,0.236842105,0.155172414,0.1875,0.229249012,8.0
Reddit,0.173913043,0.571428571,0.475,0.266666667,0.548214286,0.54723127,0.547722558,0.547618264,0.068677616,0.618570863,0.428571429,0.230769231,0.3,0.276595745,7.0
SeriesGuide,0.168190128,0.321678322,0.209677419,0.220888355,0.556000451,0.457247185,0.504211901,0.497961695,0.086345116,0.522842901,0.255244755,0.172985782,0.206214689,0.171824104,5.0
Wallpaper,0.454545455,0.875,0.352941176,0.598290598,0.761029412,0.743961353,0.752446989,0.73524306,0.453284249,0.571161095,0.125,0.15625,0.138888889,0.201257862,10.0
Median,0.27090008649999997,0.7479643885,0.3767323965,0.40911490250000004,0.6896244235,0.675240112,0.679436523,0.674522948,0.291006012,0.6318054595,0.2793469625,0.1819474365,0.212534954,0.230429977,7.5
